ns1:org_name_short,ns1:inn
"ООО ""ЭСГРАУНД""",4401064305
"ООО ""ПЕРМСКАЯ РАДИОВЕЩАТЕЛЬНАЯ КОМПАНИЯ""",5902187170
"ООО ""СТАВРОПОЛЬ-ПЕЙДЖ""",2634036145
"ООО ""ДИОНА""",7725688563
"ООО ""БИАНКА""",7725688490
"АУ РХ ""ТВ ЦЕНТР ""ХАКАСИЯ""",1901093429
"ООО ""САРМАТ МЕДИА""",5646031612
"ТОГБУ ""ТРК ""ТАМБОВСКАЯ ГУБЕРНИЯ""",6832036553
"ООО ""МИРАЖ""",6730025344
"ГАУ БО ""ДЕСНА""",3250064122
"АО ""ТК ""ДЗЕРЖИНСК""",0411061779
"ООО ПФО ""РАДИО ПРОВИНЦИЯ""",2632063111
"ООО ""РАДИО"" СТУПИНО - FM""",5045033887
"ООО ""РАДИОМАГНИТ""",7444042439
"ООО ""ВЕКТРАКОМ ПЛЮС""",1644030165
"ООО ""РЕДАКЦИЯ РАДИОПРОГРАММЫ ""МРЦ""",7414002301
"ООО ""ТВ-6 МОСКВА-ПЕТРОНЕТ""",1001099876
"ООО ""ТАТАРСКОЕ РАДИО ЧЕЛНЫ""",1657062703
"ГАУ ТО ""ТРТЦ""",7203593214
"ООО ""МЕДИА ПОЛЮС""",6660128093
"ООО ""ПРЕССМЕДИА""",1646018519
"ООО ""ИСТОКИ""",5753018334
"МАУ ""НГТРО""",4253057140
"ООО ""БАЛАКОВО 101,7""",6454122272
"ООО ""ЭКСЛАЙН МЕДИА""",3627019711
"ООО  ""ВИЗМЕДИА""",7726541676
"ООО ""ТРК ""НИКА""""",4026009238
"ООО ""МЕДИА-АГЕНТСТВО 58.ФМ""",5836653227
"ООО ""КУРЬЕР""",2920011744
"ООО ""ПАРИ""",2536293345
"ООО ""КАЗАК ФМ""",2310174868
"ООО ""РУ ФМ""",7733541839
"ООО ""ДЕЛЬТА ИС""",6153026649
"ООО ""РЕГИОН 72""",7202153098
"ООО ""ТЕЛЕРАДИОКОМПАНИЯ СИГМА""",8904892447
"ООО ""МЕДИА-РЕСУРС""",6450058918
"ООО ""ЭЛЕКТРОН""",4803003824
"ООО ""ИНТЕРПРЕСС""",0326003536
"ООО ""НЦТ""",4340004289
"ООО ""РТ""",4307013198
"ООО ""УГЛИЧСКИЕ ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",7612039550
"ООО ""РА НОВЫЙ АРБАТ""",4205071666
"ООО ""РТ""",5918838564
"ООО ИРА ""СИБИРЬКОНСАЛТИНГ""",8608055008
"АО ""ТЕЛЕКОМПАНИЯ ""СОВЕРШЕННО СЕКРЕТНО""",7704608817
"ООО ""УЕЗДНОЕ РАДИО - ВЕЛЬСК""",2901162650
"ООО ""РУССКОЕ РАДИО ТОЛЬЯТТИ""",6321295780
"ООО ""ДВА КАПИТАНА""",6315510260
"ООО ""МЕДИАЦЕНТР""",3316001292
"ООО ""РАДИО РАНДЕВУ СФ""",5260500780
"НПТРК "" РЕГИОН-В """,3701006165
"ООО НИА ""МАКС МЕДИА""",6228025349
"ООО ""ЕВРАЗИЯ-МЕДИА""",0270018633
"ООО  ""ЕДИНСТВО""",6372013040
"ООО ""МГ ""НОВОЕ ВРЕМЯ""",1831168879
"ООО ""ТЕЛЕКАНАЛ ""МИНИ МУВИ""",7703767959
"ООО НТС ""РЕАЛ""",3015060720
"ООО АТК ""РЕАЛ""",3015062598
"ООО ""ТЕЛЕМЕХАНИКА""",7725761580
"ОАО ""МОЯ ПЛАНЕТА""",7714790212
"ООО ""МАКСИМУС""",6731038755
"ООО ""ТСТ""",2321013100
"ООО ""ИМПУЛЬС""",2721136058
"АО ""КАРУСЕЛЬ""",7717689933
"ООО ""РАДИО М-БЕЛГОРОД""",3123410517
"ООО ""ВТК""",1107000527
"ООО ""РАДИО АРЛАН""",0264018770
"ООО ""СЛУЖБА АНТЕНН ТЕЛЕВИДЕНИЯ-ТВ""",2209031237
"ООО ""АЙЛАНТ""",1101021947
"ООО ""ГОРОД-ТВ""",4345011226
"НАО ""НАЦИОНАЛЬНАЯ СПУТНИКОВАЯ КОМПАНИЯ""",7733547365
"ООО ""МЕГАТОН-ТВ""",6914012673
"ООО ""ПРОЕКТ-ББ""",2221127464
"ООО ""СИБИРСКОЕ РАДИО""",1901084784
"ООО ""МЕДИА КОММУНИКАЦИИ""",6672138226
"АО ТРК ""БАШКОРТОСТАН""",0275929870
"ООО ""СИГНАЛ""",4633000622
"ООО ""ЮЖНЫЙ ПОЛЮС""",2302039618
"ООО ""ТУЛУНСКОЕ ТЕЛЕВИДЕНИЕ""",3839002100
"ООО ""АВТОРАДИО ЕКАТЕРИНБУРГ""",6662088760
"КТ ""РЕК - МАСТЕР""",2455013536
"ООО ""КУРЬЕР""",2801076453
"ООО ""СТВ-РАДИО""",1435079819
"ООО ""АВАЛЬ-А""",2466094600
"ООО ""КОМПАНИЯ ЕС""",2320111553
"ООО ""РМГ""",2801081380
"МАУК ""ВДК""",5003005976
"ООО ""ТК ""4 КАНАЛ""",6660071834
"ООО ""ТЕХНОРАД""",7901020460
"ЗАО ""ИНТЕРРАДИО ТОЛЬЯТТИ""",6322026639
"ООО ""ТАМИНФО""",6832038159
"ООО ""ОВМГ ""АКС""",7422039560
"ООО ""МАСС-МЕДИА ТВ ЦЕНТР""",4101108791
"ООО ""РАДИОПРОЖЕКТОР""",2224137615
"ООО ""ПРАДО""",7404040403
"ООО ГТИК ""ОРЕОЛ-ИНФО""",4705021600
"ООО ""РТС""",2310079580
"ООО ""МЕДИА-РЕГИОН""",6450058925
"ООО ""РАДИО ТЮМЕНИ""",7202101639
"ООО ""ТК ""ШАНС""",2459003730
"ООО ""РР АГЕНТСТВО""",1102038654
"ООО ""КИНО ТВ""",7813545807
"ООО ""ТОРГОВЫЙ ДОМ ""УФАОПТМАРКЕТ""",0274054417
"ООО ""РАДИО.ТОЧКА""",7424028901
"ООО ""РАДИО 88,6""",7604171788
"ООО ""РАДИО 90,5""",7604171925
"ООО ""МЕДИА-КОНТЕНТ""",6450059245
"МАУ ""БЕЛГОРОД-МЕДИА""",3123211511
"ООО ""РЕДАКЦИЯ РАДИОПРОГРАММЫ ""АЛЕКС""",5243017340
"ООО ""ЛИНК""",2226016327
"ООО ""101,3""",2466040490
"ООО ""КОМПАНИЯ МОБИКОМ""",7106042067
ООО БСТ,3823030045
"АО ""КОНЦЕРН ""РАДИО-ЦЕНТР""",7704173034
"ООО ""РИА""ЛЕНИНСК""",4212023536
"ООО ""ЛТВ""",2526003022
"ООО ""ОТК""",5501227932
"ООО ""НТК""",2918007684
"ООО ""УЕЗДНОЕ РАДИО - БЕРЕЗНИК""",2901162642
"ООО НТ ТК ""ТЕЛЕКОН""",6623118900
"ООО ""СТАТУС""",2626030559
"ООО ""КАМЧАТМЕДИАСЕРВИС""",4101097331
"ООО ""КТВ-3""",6827001788
"ООО ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ""",1650052382
"ООО ""ЦНТР 34""",3444162707
"ООО ""СЕРОВ  ФМ1""",6632032199
"ООО ""СТАР МЕДИА""",2623800400
"ООО ""ИНТЕРФЕЙС""",6151054400
"ООО ""ТРК НОВОМОСКОВСК""",7116158021
"ООО ""ЛИПЕЦК-СИГНАЛ""",4826038598
"АО ""ГОРОДСКОЙ ТЕЛЕКАНАЛ""",7606007945
"ООО ""РАДИО АРМАНС""",4826148671
"ООО ""МЕДИАГРУПП""",3304015318
"ООО ""РЕКЛАМНОЕ АГЕНТСТВО ""МАСТЕР""",2204005850
"ООО ""ШТРИХ А""",2227016584
"ООО ""РАДИО-ХОЛДИНГ""",6450034674
"ООО ""ИНСАЙТ-ИНФО""",7325005692
"ООО ""СКТ""",7827010671
"ООО ""ЗУИРК""",5902146102
"ООО ""МЕДИА XXI""",6027120641
"ООО ТРК ""ЩЁЛКОВО""",5050137507
"ООО ""РАДИОГРАД""",7801107164
"АО ""ТВЦ ""ПЛАНЕТА""",5610011193
"ООО ""ТВ - ОБЛАСТЬ""",6901046386
"ООО ""СЕНАТОР""",7446027524
"АО ""НТМ""",7444020322
"ООО ""КОМПАНИЯ ""ЭЛКОМ""",1701033486
"ООО ""МММ""",0517000180
"АО ""РАДИОСТАНЦИЯ ""ЕВРАЗИЯ-КЛАССИКА""",7703008415
"ООО  ""ОРИОН ЭКСПРЕСС""",7710582109
"ООО ""РГ ""САМАРОВО""",8601048379
"ООО ""ДОМ КАПРИС""",8622014109
"ООО ""ТАТРЕКОРДС СТУДИЯ""",1656066600
"ООО ""КОСТОМУКША-МЕДИА""",1004010107
"ООО ""ДЭНС""",6372014614
"ООО ""ФЭФ""",3235003277
"ООО ""РАДИО УРАЛА""",7206035419
"ООО ""РАДИО ЕВРАЗИЯ""",7325058430
"ООО ""АСТУРИАС""",2632052261
,7728075928
"ООО ТЕЛЕКОМПАНИЯ ""РТВ""",8602005931
"ООО ""РУТЕК""",1324042531
"ООО ""ВОЛНА БАЙКАЛА""",3827047522
"ООО ""ГЕНЕРАТОР""",7203161856
"ООО ""ТЮНЕР""",5262125359
"ООО ""РАДИО 107""",2308039685
"ООО ""РАДИО-СЕРВИС""",1643012759
"ООО ""СКТ""",6501180362
"ООО ""ДОН МЕДИА ГРУП""",6153023006
"ООО ""ТЕЛЕРАДИОКОМПАНИЯ ""ОХА""",6506008559
"ООО ""НЕО СТАНЦИЯ""",6154094722
ОКМС,6945001960
"ООО ""СФ-МЕДИА""",6381019633
"ООО ""ИНФОРМАЦИОННЫЕ СИСТЕМЫ""",1657010215
ООО ''КУРЬЕР'',3305039777
"ООО ""РЭМО-РС""",6452051530
"ООО ""КАСПИЙСКАЯ МЕДИАГРУППА""",3015082202
"ООО ""ТЕЛЕКОМПАНИЯ ""ЭХО САХАЛИНА""",6501099200
"ООО ""РАДИО 101 В НИЖНЕМ НОВГОРОДЕ""",5260411442
"ООО ""МЕДИАЛАЙН""",5235006994
"ООО ""СЗМГ""",7841401902
"ООО ""ТРК""САМОТЛОР""",8603238294
"ООО ""НПП АРИС ""ДУБЛЬ""",0262000199
"ООО ""РАДИО ДУБНА""",5010037150
"ООО ТРК ""АРИС""",0262002742
"ООО ""РАДИО""",2309124213
"ООО ""РАДИО РИО""",4222013390
"ООО ""ВОЛНА""",7313007705
"ООО ""БЮРО ДОБРЫХ УСЛУГ""",1650213223
"ООО ""КАМСКАЯ ВОЛНА""",5919008453
"ООО ""ОРЕН-ТВ""",5610069796
"ООО ""ВИДЕОТОН А""",6125028940
"АО ""КОММЕРСАНТЪ""",7707120552
"ООО ""ЭХО""",3666078446
"ООО ""ТЕАТР ""ГОНГ""",6643008409
"ЗАО ""ЛВС""",3308005536
"ООО ""ССС""",6453007397
"ООО ""ТЕЛЕАНТЕННЫ""",6345009069
"ООО ""РАДИОСЕТЬ""",2349031854
"АО ""ТЕЛЕКАНАЛ 360""",5024176605
"КГАУ ""ДИРЕКЦИЯ КРАЕВЫХ ТЕЛЕПРОГРАММ""",2466087561
"ООО ""КАНАЛ ИНФО""",4826037795
"ООО ""РВК""",6623090324
"АО ""ЭРНА-М""",5191407509
"ООО ""РУССКОЕ РАДИО -КУРГАН""",4501125470
"ООО ""ВЕЩАТЕЛЬ""",5537009127
"ООО ""РУССКИЙ ВИТЯЗЬ""",2225026932
"ООО ""НЕОКОМ""",2508015628
"ООО ""РАДИО 56""",7726581710
"ООО ""ВОСТОК МЕДИА""",6633020164
"ООО ""ЭНЕРГОТЕЛ""",6619011601
"АО ""САР""",7805381697
"ООО ""ЛАВ НВ""",8603197400
ОООПП КПРФ,5503066286
"ООО ""ТЕЛЕМИГ""",2629005720
"ООО ТРК ""ТИХИЙ ДОН""",6162512042
"ООО ""РУБИКОМ""",3813003035
"ООО ""МЕРИДИАН""",6318007961
"ООО ""ТЕХИНВЕСТ""",7206030724
"МУ РТРК ""ЖУКОВ-ТВ-СТЕРЕО""",4007003488
"ЗАО ""РЕЛАКС""",4347004129
"ООО ""ВЕЩАТЕЛЬНЫЕ СИСТЕМЫ""",4347034677
"ООО ""КАНАЛ 12""",3528033352
"ООО ""УНИВЕРСАЛ""",4025434783
"ООО ""КТРК""",7413011631
"ООО ""ОРЕНМЕДИАПЛЮС""",5610133956
"ООО ""ВЕКТРАКОМ""",1644023513
"ООО ""ГС-МЕДИА АРИС""",0274091673
"ООО ""СИЛЬВЕР-С""",5254484474
"ООО ""БИТ""",3837004616
"ООО ""ТАТАРСТАН 24""",1656069350
"ООО ""РТФ""",2322019313
"ООО ""ЛАНС""",6027075220
"ООО ""ВОЛГА-РАДИО""",5262104327
"ООО ""РЕТРО ОМСК""",5504221424
"ООО ""КОМПАНИЯ ""НЕРА""",6660082674
"ООО ""ФОРПОСТ""",6722001036
"ООО ""ВОДТВ""",7705849357
"ООО ""МУЗ ТВ СЕТЬ""",7703663830
"ООО ""РАДИО ЛЮБОВЬ""",4101141421
"ООО ""КАМЧАТКА ФМ""",4101156770
"ООО""АПТО""ЭЛЕКТРОН""",2323018560
"ООО ""СТРЕЛА""",2700039328
"ООО ""АЛЬТЕКС МЕДИА""",6602010617
"ООО ""КОСТРОМА МЕДИА""",4401139649
"ООО ""ТК ""РЕЗОНАНС""",6672208730
"АНО ""РЕДАКЦИЯ ТЕЛЕКАНАЛА СОВЕТА ФЕДЕРАЦИИ""",7707491148
"ООО ""РАДИОЭФИР""",6660135319
"ОАО ""ОБЛ. ТВ""",6608006790
"ООО ""МЕДИА-Н""",8610025434
"ООО ""ПУЛЬС-Р 103,3""",6165161106
"ООО ""РАДИО САРАНСК""",1300008115
"ООО ""БНТВ""",6906006620
"ООО ""РАДИОДОМ""",1515910500
"ООО ""ВектраКом""",1644023513
"ООО ""НТС""",3821008020
"ООО ""ЭСКОРТ""",1632006915
"ООО ""МЕДИА ПОРТАЛ ШАХТЫ""",6155043960
"ООО РКФ ""КАМЕРОН""",3016040999
"ООО ""ЗОЛОТАЯ СЕРЕДИНА""",4217035912
"ОБУ ""ТРК ""ЛИПЕЦКОЕ ВРЕМЯ""",4826039802
"ООО ""РЕВДА ФМ""",6627017438
"ООО ""АРТ- МЕДИА""",0721013574
"ООО ""АВТОРАДИО""",7024019677
"ООО ""РТВ""",5501038526
"ООО ""ЛАЙНЕР""",3305058561
"ООО ""ЛАЙТ МЕДИА""",3817032502
"ООО ""ПАРУС""",6439043957
"ООО ""ТВ""",2450023570
"ООО КТРК ""ЕВРОПА""",0265016422
"ООО ""УРАЛМЕДИАТРЕЙД""",7422041174
"ООО ""ИНТЕРЛАЙН""",0816014216
"ООО ""ИНФОКОМ - Т""",6727019051
"ООО ""АВАНГАРД""",7321317115
"ООО ""СЕРОВ ФМ+ТВ""",6632024053
"МАУ ""МУРАВЛЕНКО МЕДИА""",8906006091
"ООО ""С.Ю.С.""",6731036194
"ООО ""МЕДИА ГРУППА""",5221006264
"ООО ""УРАЛЬСКИЙ МЕДИА ХОЛДИНГ""",6625033113
"ООО ""ФИРМА ""БИС""",0275023387
МУ Р РАДИО-ТЕЙКОВО,3704005032
"ООО ""СИБСВЯЗЬИНФОРМ""",4220026467
"ООО ""АЛЕКС М""",5031072572
"ООО ""ТЕХЦЕНТР""",3819021915
"ООО ""ТЕЛЕКОМПАНИЯ ""АРИГ УС""",0326499787
"ООО ""ФОРМАТ""",2463083431
"ООО "" МРК "" Л- РАДИО """,4825014139
"ООО ""РАДИО-ПРЕМЬЕР""",1835047064
"ООО ""ГРАНД""",0256021070
"ООО ""МУРМАН МЕДИА""",5190140108
"ООО ""НПРО ""УРАЛ""",7422004373
"ООО ""ОЛЕНЕКСКИЕ ОГНИ""",1422002216
"ООО ""МОДЕРН""",7813644149
"ООО ""ЭФИР-ВЛАДИВОСТОК""",2538036086
"ООО ""РАДИО УЗЕЛ""",6661089552
"ООО ""ТРК ТВС""",7457013788
"ООО ""ГОРОДСКОЕ РАДИО""",2636037271
"ООО ""СТРК ТИВИКОМ""",5045045610
"ООО ЦНТ РД Т/К ""ТБС""",0561045938
"ООО ""ЕНИСЕЙ-ИНФОРМ""",2447009487
"ООО ""ТВ-РОКС""",2627014310
"ООО ""Р-СТОУН""",2209023420
"ООО ""ГОНГ ТВ""",6612004475
"ООО ""НТК""",0721013567
"ООО ""МЕДИА-ФОРУМ""",4632035446
"ООО ""БАШВЕСТЬ""",0258010236
"ООО  ""УРАЛ-МЕДИА""",7451347390
"ООО ""ЕВРАЗИЯ""",1102022911
"ООО ""НОЯБРЬ ЛТД""",3837511126
"ООО ""МЕДИА КОММУНИКЕЙШНС""",7704723785
"ООО ""ПРЕССА""",6731028362
"ООО ""ВАКТОН""",7706207440
"ООО  КОНСАЛТИНГОВАЯ КОМПАНИЯ ""ИПЦР""",6829143410
"ООО ""СЯСЬ-ТВ""",4702016200
"ООО ""ДЭНС ФМ""",6632004297
"ООО ""ТТЦ""",5914017430
"ЗАО ""РАДИО""",7021052965
"ООО ""РАДИО МАРУСЯ ФМ""",4028041452
"ООО ""ТАВРО""",3729006662
"ООО ""КМ""",1004014366
"ООО ""АРТХОМ""",2502033959
"ООО ""МИАСС ОНЛАЙН""",7415056229
"АО ""КРТК""",1101205895
"ООО ""УИ ТРК""",3817022247
"ООО ""ЯРОСВЕТ""",4101088560
"ТРО ""СОЮЗА""",7710313434
"ООО ""ГОРОД АТВ""",2634809483
"ООО ""СИСТЕМА ФМ""",1001198348
"ООО ""РАДИО-РЕЗОНАНС""",5262060327
"ООО ""РАДИО-ЛЮКС""",7455033771
"ООО ""КОНТУР""",1433015753
"ООО ""РОСТ""",2302032330
"ООО ""ПУЛЬС-Р""",6140020488
"ООО ""СВЯЗИСТ""",5250020175
"ООО ""ВОЛНА""",7116510130
"ООО ""БАЙКАЛ МЕДИА""",0326020980
"ООО ""РАДИОКАНАЛ ""БУРЯАД ФМ""",0326500827
"ООО ""НОКС""",5607013200
"ООО  ""2ТВ""",3444177816
"АО ""ДЕЛАЙ МЕДИА""",4223134005
"МАУ ""ТРК ХОЛМСК""",6509021212
"ООО ""РАДИУС""",5408142530
"ООО ""РАДИО ""МАКСИМУМ - КАЗАНЬ""",1656021655
"ООО ""МЕДИА-ЦЕНТР""",4401142440
"ООО ""АГГАРТА""",1701031552
"ООО ""КОМПАНИЯ ""АЛМЕДИА""",5001057376
"ООО  ""ТВ-МОСТ""",4206029811
"ООО ""СИТИКОМ САФОНОВО""",6726014639
"ООО ""ХИТ-РАДИО""",4025073287
"ООО ""ДОМИНО""",5102043034
"ООО ""ФИРМА ТЕХНИКА""",1659203999
"ООО ""ПРОГРАММА ПЕРЕДАЧ""",7704525261
"ООО ""НИТВ""",7813463047
"ООО ""ИРК""",3702533397
"ООО ""МЕГАМЕДИА""",6658151842
"ЗАО ""ЕВРОПА ПЛЮС БЛАГОВЕЩЕНСК""",2801039885
"ООО ""КОМЕТА""",5048016150
"МАУ ""ТРК ""БРАТСК""",3803201084
"ООО ""ИНФОМЕДИАБИЗНЕС""",7714232698
"ООО ""ТРК ""ЕВРАЗИЯ""",5615011366
"ООО ""ВОЛНА""",6656019302
"ООО ""МЕГАФОРУМ""",6670430095
"ООО ""АЙВИС ПЛЮС""",7116502027
"ООО ""ОРБИТА""",0326021380
"АО ""ЭХО""",5904133941
"ООО ""ИВЕТА""",5607000025
"ООО ""РАДИО-7""",2204016010
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРК""",0317010449
"ООО ""АЙВИС""",7103002771
"ООО ""ВИНИЛ""",3816009405
"ООО ""ЛУКИ ФМ МЕДИА""",6025027608
"ООО ""МИУС-МЕДИА""",6119002687
"ООО ТРК ""СТОЛИЦА""",1435135037
"ООО ""МЕСТКОМ""",2313020947
"ООО ""БИЗНЕС-МЕДИА""",1101128545
"ООО ""АПГРЕЙД""",6446812554
"ООО ""МСС""",5053080055
"ООО ""РУССКИЕ ЗВЕЗДЫ""",6659070709
"ООО ""КЛАССИКА""",5031031167
"ООО ""ПЕРВЫЙ ГОРОДСКОЙ КАНАЛ""",3906211341
"ООО ""МЕДИАЦЕНТР""",7418021506
"ООО ""РАДИО ВЕРЕЩАГИНО""",5902137073
"МБУ ""ТРК-РСТР""",6219007671
"ООО ""ПЕРВАЯ МЕДИАГРУППА""",3453000332
"ООО ""НОСТАЛЬЖИ-ПЕРМЬ""",5905007234
"ООО ""ТРОТЕК""",5046053283
"ООО ""СЕМЬ ЗВЁЗД""",3438006241
"ООО ""КИНОТЕАТР ""ПАРНАС""",3128037426
"ООО ""ГЕРЦ""",7451074022
"ООО ""РАДИОКОМПАНИЯ ""ЕКОР""",6660005239
"ООО ""ВТРК""",6025021050
"ООО ""РТКА""",1644016330
,1654030654
"ООО ""ИШИМСКОЕ ВРЕМЯ""",7205022223
"ООО ""А.Т.И""",3905052160
"ООО ""ПРИНТ-КРЕАТИВ""",5702007278
"ООО ""КУБАНЬ 24""",2310239184
"ООО ""МЕДИАХОЛДИНГ ""МАКС МЕДИА ГРУПП""",2320236898
"ООО ""РК ""КОМ-ИНФО""",6670430070
"ООО ""КАМ ТВ""",6613001100
"ООО ""ВИВАТ МЕДИА""",3834014479
"ООО ""ВИКТОРИЯ""",0914000290
"ООО ""КОРПОРАЦИЯ ШОВВИС""",0544017338
"ООО ""АСКО-ХОЛДИНГ""",6450034579
"ООО ""СИТИ ФМ""",0278171200
"ООО ""ФАЙЛ""",1102006162
"АО ""ТИВИКОМ""",0326550539
"ООО ""АПС""",2901237665
"ООО ""АРК""",2901073103
"ООО ""АРТЕЛЬ""",6829049760
"ООО ""ТВ КУПОЛ""",7813110041
"ООО ""ВОЛНА""",3610000261
"ООО ""ГИГАНТ-СЕРВИС""",4027101571
"ООО ""СЕДЬМОЕ НЕБО""",7413012498
"ООО ""ЛЯ МАЖОР""",8904057622
"ООО ""РАДИОТРЕК""",6658013338
"ООО ""ЦИРКОН""",5101402114
"ООО "" ЕВРОПА ПЛЮС КРАСНОЯРСК """,2465104359
"МАУ МТРВ ""ТОЛ БУЙЛАРЫ"" (ПРИТУЛВЬЕ)",5930003378
"МУ ""БРОННИЦКИЕ НОВОСТИ""",5002004070
"ООО ""СИГНАЛ""",6827015702
НТРК,3835000126
"ООО ""КРЫЛЬЯ""",6228042785
"АНО ""ИИЦ ""СВЕТЛЫЙ ПУТЬ""",7219008814
ООО ТБС,8906006447
"ООО ""ФОТОН""",6330029087
"ООО ""АМУР МЕДИА ГРУПП""",2801095449
"ООО ""ТВК""",4634011440
"ООО ""ЗАР-МЕДИА""",7731452365
"ООО ""МТВ НЕТВОРКС ЭНТЕРТЕЙНМЕНТ ВОСТОК""",7743785993
"ООО ""АРК""",3015098202
"МКУ ИА ""НОВОСИБИРСК""",5404326335
"ООО ""НЧ""",2128021696
"ООО ""ГАЛАКТИКА""",5919001338
"ООО  ""МЕДИА-ГРУПП""",2337040766
"ООО ""ТВН""",4217179583
"МУ ""ТРК ""АРЗАМАС""",5243016629
"ООО ""КИРОВ ФМ""",4345205630
"ООО ""ВЕЧЕРНИЙ СИМБИРСК""",7325047861
"ООО ""ЭКСПЕРТ-М""",1102064502
"ООО  ""ПРАКТИКА МЕДИА""",6916012894
"ООО ""НАВИГАТОР ПЛЮС""",3250071095
"ООО ""ПЕТЕРБУРГСКИЕ СЕТИ""",4707033960
"ООО ""РЕКЛАМ-АРТ""",1652019126
"ООО ""СЛАВА""",3702090265
"ООО ТРК ""СИБИРЬ""",8604043435
"ООО ""СВТВ""",2704014677
"ООО ""АВТОСЕВЕР""",6632025748
"МУ ""РЕДАКЦИЯ РАДИО-КИНЕШМА""",3703014860
"МКУ ""РАДИО - ВИЧУГА""",3701006006
"ООО ""НОРД-ВЕСТ ПРОЕКТ""",6027168403
"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""",8622000931
"ООО ""ПСТВ""",6507012597
"ООО ""ТРЕНД-ИНФО""",6381018100
"ООО ""ТЕЛЕВИДЕНИЕ БУДУЩЕГО""",7724833271
"АО  ""ДЕВЯТКА ТВ""",4345357023
"ООО ""ТРК ""СУПЕР-ВОЛНА""",0274026459
"ООО ""ЭЛЕКТРОСВЯЗЬ""",6630010369
"ООО ""МАТРИЦА""",3525192058
"ООО РВК ""СН""",2508004129
"ООО ""ТВК""",2334024004
"ООО ""ТРК ""РЯЗАНЬ""",6231037175
МБУ ДК,6825003571
"ООО ""ПРЕМИУМ""",4202026658
"ООО ""РАДИОСТАНЦИЯ ""ЭКСПРЕСС""",6674174090
"ООО ""ЦЕНТРИНТЕХ"", ООО ""ЦИНТ""",3436013211
"ООО ""ЛАЙТ-РАДИО""",3703014179
"ООО ""ШОРИЯ-МЕДИА""",4252001426
"ООО ""СТАЛИТ""",6154015248
"ООО ""РИМ ПЛЮС""",3905056157
"ООО ""МЕДИАКОМ""",3813001373
"ООО ""ФМ-НА-АМУРЕ",2703075331
"ООО "" МЕДСЕРВИС """,5827007330
"ООО ""ДАЙДЖЕСТ ТВ""",7017015777
"ООО ""ПРОМО""",3126014399
"ООО ""СТАЙЛ ГРУП""",7704809880
"ООО ""ПАБЛИК ТВ""",7703781625
"ООО ""МУЗЫКАЛЬНОЕ РАДИО""",6317041039
"ООО ""ВЯТКА-ФМ""",1656055196
"ООО ""СЛУЖБА ИНФОРМАЦИИ РАДИО СИБИРИ""",5403117096
"ООО ""ВЛАДИМИР МЕДИА""",3327823760
"ООО ""РЕДАКЦИЯ ГАЗЕТЫ ""ДВАЖДЫ ДВА""",2801008301
"ООО ""РИК""",5248032600
"ООО ""ЕВРОПА ПЛЮС ЧЕБОКСАРЫ""",2130191310
"ООО ""МЕДИА-ЛАЙН""",6660048296
"ООО РК ""ГОЛОС АНГАРЫ""",3823012279
"ООО ""А-МЕДИА""",2902075400
"ООО ""РАДИО ""КП""",5013050880
"АО ""АРТ-РАДИО""",5260062819
"ООО ""МОБИЛ ТЕЛЕКОМ ПЛЮС""",7417006375
"ООО ""ИНТЕРМОДА""",7707432640
"ООО ""РЕДАКЦИЯ ""РАДИО ТРОЙКА""",4101065604
"ООО ""ЛУЧШЕЕ РАДИО""",3525308263
"ООО ""АВТОРАДИО""",1841070047
"АНО РЕДАКЦИЯ ТК ""ПУЛЬС""",6375997049
"ООО ""БЕЛЫЙ КРАЙ""",3126012761
"ООО ""ГРУППА ""ДИВЬЯ""",4715014256
"ООО ""РАДИОКОМПАНИЯ ""ПОЛУЖЬЕ""",4710010360
"ООО ""НОВАЯ ВОЛНА""",6147026200
"ООО ""МЕГАТРАСТ""",7404047977
"ООО ""КАЛЯЗИНСКОЕ ТЕЛЕВИДЕНИЕ И РАДИО""",6925008044
"МБУ ИА ""ЯТВ""",8909001158
"ООО ""ЭКВИЛОН-МЕДИА""",5404287608
"МБУ ""РЕДАКЦИЯ ТРК ""ОТРАДНЫЙ""",6340008400
"ООО ""РАДИО КУРЬЕР""",6154089909
"ООО ""ИШИМ ТВ""",7205017569
"ООО ""ИНФОМЕДИА""",5903078656
"ООО ""С-ТЕЛЕКОМ""",3322011475
"ООО ""ЭФИР""",2801088667
"ООО ""АРКТИКА МЕДИА""",8905067133
"АУ ""НИЦ""",8604023358
,1504024965
"ООО ""ТЕЛЕВЬЮ""",0266027890
"ООО ""ЗВУК""",6619015740
"МАУ МО Г. ИРБИТ ""РТР ""ИРБИТСКИЙ ВЕСТНИК""",6611000196
"ООО ""НТК ""ТИХОРЕЦК-ТВ""",2321003350
"МБУ ""ТРК ""БАЛТИЙСКИЙ БЕРЕГ""",4714015994
"ООО ""РАДИО БУМ""",7726574520
"ООО ""РАДИО МИР""",5404201791
"ООО ""ЭНЕРГИЯ ВОСТОКА""",2536151439
"ООО ""АРТ ПРОЕКТ""",0260009580
"ООО ""ТЕЛЕКОМ-ПР""",6450001140
